iter	Passed	Remaining
0	51	51761
1	57	28481
2	61	20274
3	64	15994
4	67	13389
5	70	11655
6	74	10626
7	78	9705
8	81	8955
9	84	8330
10	88	7991
11	93	7682
12	96	7338
13	99	7024
14	103	6783
15	107	6640
16	110	6415
17	113	6212
18	116	6026
19	121	5965
20	125	5840
21	128	5704
22	131	5592
23	134	5483
24	139	5452
25	143	5376
26	146	5284
27	149	5200
28	155	5214
29	159	5145
30	162	5073
31	165	5002
32	170	5004
33	174	4957
34	177	4907
35	181	4856
36	186	4849
37	191	4847
38	194	4804
39	198	4758
40	203	4766
41	207	4733
42	210	4695
43	214	4653
44	219	4651
45	223	4629
46	226	4593
47	229	4560
48	233	4527
49	238	4539
50	242	4514
51	246	4486
52	249	4466
53	255	4470
54	258	4445
55	261	4416
56	265	4388
57	270	4397
58	273	4369
59	277	4342
60	280	4314
61	285	4321
62	289	4299
63	292	4272
64	295	4246
65	299	4240
66	303	4231
67	307	4209
68	310	4192
69	314	4175
70	319	4178
71	322	4156
72	325	4139
73	329	4122
74	334	4126
75	338	4116
76	341	4099
77	345	4082
78	350	4087
79	354	4072
80	357	4054
81	360	4037
82	365	4038
83	369	4026
84	372	4006
85	375	3986
86	378	3969
87	383	3975
88	386	3960
89	390	3944
90	393	3928
91	397	3926
92	401	3918
93	405	3905
94	408	3890
95	411	3873
96	416	3880
97	420	3868
98	423	3854
99	426	3841
100	432	3846
101	436	3839
102	439	3829
103	442	3816
104	447	3816
105	451	3809
106	455	3797
107	458	3784
108	462	3783
109	467	3778
110	470	3764
111	473	3753
112	476	3741
113	483	3753
114	486	3742
115	489	3731
116	492	3719
117	498	3723
118	501	3712
119	505	3703
120	508	3692
121	513	3697
122	517	3690
123	520	3680
124	524	3670
125	529	3672
126	533	3667
127	536	3657
128	540	3646
129	544	3646
130	549	3642
131	552	3633
132	556	3625
133	561	3626
134	566	3628
135	569	3620
136	573	3614
137	579	3621
138	583	3614
139	587	3607
140	590	3599
141	597	3607
142	600	3601
143	605	3596
144	610	3601
145	615	3600
146	619	3594
147	623	3588
148	628	3590
149	632	3584
150	635	3575
151	639	3566
152	644	3565
153	648	3562
154	652	3555
155	655	3546
156	661	3553
157	665	3546
158	668	3537
159	672	3528
160	677	3530
161	681	3525
162	684	3516
163	688	3508
164	693	3509
165	697	3504
166	701	3498
167	704	3489
168	708	3486
169	713	3481
170	716	3473
171	720	3466
172	723	3458
173	729	3460
174	732	3454
175	736	3447
176	740	3445
177	745	3440
178	748	3433
179	751	3425
180	755	3419
181	760	3418
182	763	3410
183	767	3401
184	770	3392
185	775	3392
186	778	3385
187	782	3377
188	785	3368
189	789	3367
190	794	3363
191	798	3359
192	801	3351
193	807	3355
194	811	3351
195	815	3346
196	820	3342
197	826	3348
198	830	3341
199	833	3335
200	838	3335
201	843	3332
202	847	3326
203	850	3319
204	855	3317
205	859	3314
206	863	3309
207	867	3302
208	872	3302
209	876	3297
210	880	3291
211	883	3285
212	888	3281
213	892	3279
214	896	3273
215	899	3266
216	903	3259
217	908	3257
218	911	3249
219	914	3242
220	917	3235
221	923	3234
222	927	3230
223	930	3224
224	933	3216
225	939	3217
226	943	3212
227	946	3205
228	950	3198
229	954	3194
230	958	3190
231	961	3183
232	965	3176
233	969	3172
234	974	3170
235	977	3164
236	980	3158
237	984	3151
238	989	3151
239	993	3145
240	996	3138
241	999	3131
242	1004	3129
243	1009	3126
244	1012	3119
245	1015	3112
246	1020	3112
247	1024	3107
248	1029	3103
249	1032	3098
250	1038	3099
251	1042	3094
252	1046	3089
253	1049	3082
254	1054	3080
255	1058	3075
256	1061	3070
257	1065	3063
258	1070	3062
259	1074	3058
260	1078	3054
261	1082	3050
262	1088	3049
263	1091	3043
264	1095	3037
265	1101	3039
266	1106	3036
267	1110	3032
268	1113	3026
269	1118	3024
270	1122	3020
271	1126	3015
272	1130	3011
273	1136	3012
274	1141	3008
275	1144	3003
276	1150	3004
277	1154	2999
278	1158	2994
279	1162	2990
280	1168	2989
281	1172	2984
282	1176	2979
283	1181	2979
284	1187	2979
285	1191	2973
286	1194	2968
287	1200	2967
288	1205	2964
289	1209	2960
290	1212	2955
291	1218	2953
292	1222	2949
293	1225	2943
294	1229	2937
295	1234	2936
296	1238	2930
297	1241	2925
298	1246	2921
299	1251	2920
300	1255	2915
301	1259	2910
302	1264	2909
303	1269	2905
304	1273	2900
305	1276	2894
306	1281	2893
307	1285	2887
308	1288	2882
309	1291	2875
310	1296	2872
311	1301	2870
312	1305	2865
313	1308	2858
314	1314	2858
315	1318	2853
316	1321	2848
317	1325	2843
318	1331	2843
319	1335	2838
320	1339	2833
321	1344	2831
322	1350	2829
323	1354	2825
324	1358	2820
325	1364	2821
326	1368	2817
327	1372	2812
328	1378	2811
329	1383	2808
330	1387	2803
331	1391	2800
332	1396	2797
333	1403	2798
334	1406	2792
335	1412	2790
336	1416	2786
337	1420	2782
338	1423	2776
339	1428	2773
340	1432	2768
341	1436	2763
342	1439	2757
343	1444	2754
344	1448	2750
345	1452	2745
346	1455	2739
347	1461	2737
348	1465	2732
349	1468	2727
350	1472	2721
351	1476	2718
352	1481	2714
353	1484	2709
354	1488	2704
355	1494	2702
356	1497	2697
357	1501	2692
358	1504	2686
359	1510	2685
360	1514	2681
361	1518	2675
362	1521	2669
363	1526	2667
364	1530	2663
365	1534	2657
366	1537	2651
367	1541	2648
368	1546	2644
369	1549	2638
370	1553	2633
371	1557	2629
372	1561	2625
373	1565	2619
374	1568	2614
375	1572	2609
376	1577	2606
377	1580	2601
378	1584	2595
379	1587	2590
380	1592	2587
381	1596	2582
382	1599	2576
383	1602	2571
384	1608	2569
385	1611	2564
386	1615	2558
387	1618	2553
388	1623	2550
389	1627	2546
390	1630	2540
391	1634	2534
392	1637	2529
393	1642	2525
394	1645	2520
395	1648	2514
396	1652	2509
397	1657	2506
398	1660	2501
399	1664	2496
400	1667	2490
401	1670	2485
402	1675	2481
403	1678	2475
404	1681	2470
405	1684	2464
406	1689	2461
407	1693	2456
408	1696	2451
409	1700	2446
410	1704	2443
411	1709	2439
412	1712	2434
413	1716	2429
414	1720	2425
415	1725	2422
416	1729	2417
417	1732	2412
418	1737	2409
419	1741	2405
420	1745	2400
421	1748	2394
422	1751	2389
423	1756	2385
424	1759	2380
425	1763	2375
426	1766	2370
427	1771	2367
428	1775	2362
429	1778	2357
430	1781	2352
431	1787	2349
432	1790	2344
433	1794	2339
434	1797	2334
435	1802	2331
436	1807	2328
437	1810	2323
438	1813	2317
439	1816	2312
440	1822	2309
441	1826	2306
442	1832	2304
443	1839	2304
444	1844	2300
445	1852	2301
446	1858	2298
447	1863	2296
448	1869	2294
449	1878	2295
450	1888	2299
451	1894	2297
452	1904	2299
453	1914	2301
454	1920	2299
455	1925	2297
456	1930	2293
457	1935	2290
458	1940	2286
459	1945	2283
460	1949	2279
461	1954	2276
462	1959	2272
463	1964	2269
464	1970	2267
465	1975	2264
466	1981	2261
467	1986	2258
468	1991	2254
469	1996	2251
470	2003	2249
471	2008	2246
472	2012	2242
473	2017	2239
474	2023	2236
475	2029	2233
476	2035	2231
477	2039	2226
478	2046	2226
479	2052	2223
480	2058	2220
481	2062	2216
482	2067	2213
483	2072	2209
484	2076	2205
485	2081	2201
486	2085	2196
487	2089	2192
488	2093	2187
489	2097	2183
490	2102	2179
491	2107	2175
492	2111	2171
493	2116	2168
494	2120	2163
495	2125	2160
496	2131	2156
497	2135	2152
498	2139	2147
499	2143	2143
500	2148	2140
501	2152	2135
502	2156	2131
503	2160	2126
504	2166	2123
505	2171	2119
506	2175	2115
507	2180	2111
508	2183	2106
509	2188	2102
510	2192	2097
511	2197	2094
512	2201	2089
513	2205	2085
514	2210	2081
515	2214	2077
516	2219	2073
517	2223	2068
518	2227	2064
519	2232	2060
520	2237	2056
521	2240	2051
522	2246	2048
523	2249	2043
524	2254	2040
525	2259	2035
526	2263	2031
527	2267	2027
528	2272	2023
529	2276	2018
530	2280	2014
531	2286	2011
532	2290	2006
533	2295	2003
534	2300	1999
535	2304	1995
536	2309	1991
537	2313	1987
538	2317	1982
539	2323	1979
540	2328	1975
541	2332	1970
542	2336	1966
543	2340	1961
544	2345	1958
545	2350	1954
546	2354	1949
547	2358	1945
548	2363	1941
549	2368	1937
550	2371	1932
551	2376	1929
552	2380	1924
553	2385	1920
554	2388	1915
555	2393	1911
556	2397	1906
557	2402	1902
558	2406	1898
559	2411	1894
560	2416	1890
561	2419	1885
562	2424	1882
563	2428	1877
564	2432	1873
565	2436	1868
566	2441	1864
567	2445	1859
568	2450	1855
569	2453	1851
570	2458	1847
571	2462	1842
572	2467	1838
573	2471	1834
574	2475	1830
575	2479	1825
576	2483	1820
577	2488	1816
578	2492	1812
579	2495	1807
580	2501	1804
581	2506	1800
582	2510	1795
583	2515	1791
584	2518	1786
585	2523	1782
586	2526	1777
587	2530	1773
588	2534	1768
589	2539	1764
590	2542	1759
591	2547	1755
592	2550	1750
593	2555	1746
594	2559	1742
595	2563	1737
596	2566	1732
597	2570	1728
598	2574	1723
599	2577	1718
600	2581	1713
601	2584	1708
602	2590	1705
603	2593	1700
604	2596	1695
605	2600	1690
606	2605	1686
607	2608	1681
608	2612	1677
609	2615	1672
610	2619	1667
611	2623	1663
612	2626	1658
613	2629	1653
614	2633	1648
615	2637	1644
616	2640	1639
617	2644	1634
618	2647	1629
619	2652	1625
620	2655	1620
621	2659	1615
622	2662	1611
623	2665	1606
624	2670	1602
625	2673	1597
626	2677	1592
627	2680	1587
628	2685	1583
629	2688	1578
630	2692	1574
631	2695	1569
632	2698	1564
633	2703	1560
634	2707	1556
635	2711	1551
636	2714	1546
637	2718	1542
638	2722	1537
639	2725	1533
640	2729	1528
641	2733	1524
642	2737	1520
643	2741	1515
644	2744	1510
645	2747	1505
646	2752	1501
647	2755	1496
648	2758	1492
649	2762	1487
650	2767	1483
651	2770	1478
652	2773	1474
653	2777	1469
